"","...1","LLAVEVIV","HOGAR","H18A_ESTU","H18B_REFR","H18C_LAVA","H18D_MCOS","H18E_ABAN","H18F_AIRE","H18G_RADI","H18H_TRES","H18I_TCEL","H18J_TV","H18K_COMP","H18L_INTER","H18M_AUTO","V03_TENE","V11_SANIT","id_hogar","vivienda_propia","alcantarillado","casa_propiacon_alcantarillado"
"140",140,"0522218",1,1,1,1,1,1,0,1,0,1,1,0,0,1,1,2,140,0,0,0
"141",141,"1497920",1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,141,0,1,0
"142",142,"0795061",1,1,1,1,0,1,0,1,1,1,1,0,0,0,3,1,142,1,1,1
"143",143,"0293046",1,1,0,0,0,0,0,0,0,1,0,0,1,0,4,3,143,0,0,0
"144",144,"1453085",1,1,1,1,0,0,1,1,0,1,1,1,1,1,3,2,144,1,0,0
"145",145,"1279682",1,0,0,0,1,0,0,0,0,1,0,0,0,0,3,3,145,1,0,0
"146",146,"0166135",1,1,1,0,0,1,0,0,0,1,0,0,0,0,4,1,146,0,1,0
"147",147,"1087097",1,1,1,1,0,1,0,1,0,1,1,0,1,0,3,2,147,1,0,0
"148",148,"0163906",1,1,1,1,0,1,0,1,0,1,1,0,1,1,3,1,148,1,1,1
"149",149,"0480298",1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,149,0,1,0
"150",150,"0881159",1,1,1,1,1,1,0,1,1,1,1,1,1,1,3,2,150,1,0,0
"151",151,"0851017",1,1,1,1,0,1,0,1,0,1,1,0,0,0,3,2,151,1,0,0
"152",152,"1404523",1,1,1,1,1,1,1,0,1,1,1,1,1,1,3,2,152,1,0,0
"153",153,"0492525",1,1,1,1,1,1,0,1,1,1,1,0,1,0,2,1,153,0,1,0
"154",154,"0911064",1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1,154,0,1,0
"155",155,"0409501",1,1,1,1,0,0,0,1,0,1,1,0,1,1,3,2,155,1,0,0
"156",156,"0238864",1,1,1,1,0,1,1,1,1,1,1,1,1,1,3,2,156,1,0,0
"157",157,"1232319",1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,2,157,0,0,0
"158",158,"1581422",1,1,1,1,0,1,0,1,0,1,0,1,1,0,3,3,158,1,0,0
"159",159,"0183053",1,1,1,1,0,1,0,1,0,1,1,0,1,1,3,2,159,1,0,0
"160",160,"1417088",1,1,1,1,0,1,0,1,0,1,1,0,0,1,3,2,160,1,0,0
"161",161,"0320696",1,1,0,0,0,0,0,0,0,0,1,0,1,0,4,3,161,0,0,0
"162",162,"1395934",1,1,1,1,0,1,0,0,0,1,1,0,1,0,2,2,162,0,0,0
"163",163,"0705441",1,1,1,1,0,1,1,0,1,1,1,0,1,0,3,1,163,1,1,1
"164",164,"0022933",1,1,1,1,0,1,0,0,0,1,1,0,0,0,3,2,164,1,0,0
"165",165,"0975957",1,1,1,1,0,1,0,0,0,1,1,0,1,0,3,2,165,1,0,0
"166",166,"0428705",1,1,1,1,0,0,0,1,0,1,1,0,1,0,NA,NA,166,0,0,0
"167",167,"1180962",1,0,0,0,0,0,0,1,0,0,0,0,0,0,3,3,167,1,0,0
"168",168,"0333364",1,1,1,1,0,1,0,1,0,1,1,0,0,0,2,2,168,0,0,0
"169",169,"0306371",1,1,1,1,0,1,0,0,0,1,1,1,1,0,2,2,169,0,0,0
"170",170,"1548762",1,1,1,1,0,1,0,0,0,1,0,0,0,0,3,2,170,1,0,0
"171",171,"1518205",1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,171,0,1,0
"172",172,"0743076",1,1,1,1,0,1,1,1,0,1,1,0,1,0,4,1,172,0,1,0
"173",173,"0657103",1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,173,0,1,0
"174",174,"0524667",1,1,1,1,1,1,1,0,0,1,1,0,1,1,3,2,174,1,0,0
"175",175,"1093754",1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,175,1,1,1
"176",176,"0421805",1,1,0,1,0,0,0,1,0,1,1,1,1,1,3,3,176,1,0,0
"177",177,"1258112",1,1,1,1,0,1,0,0,0,1,1,0,1,0,3,2,177,1,0,0
"178",178,"0285066",1,1,1,1,0,1,0,1,0,1,1,0,1,0,3,2,178,1,0,0
"179",179,"0811917",1,1,1,1,0,1,1,0,0,1,1,1,1,1,3,1,179,1,1,1
"180",180,"0225374",1,1,1,1,0,1,1,1,0,1,1,1,1,1,2,1,180,0,1,0
"181",181,"0646348",1,1,1,1,0,1,1,0,0,1,1,1,1,1,3,1,181,1,1,1
"182",182,"0634477",1,1,1,1,0,0,1,0,0,1,1,1,1,1,2,1,182,0,1,0
"183",183,"0623312",1,1,0,0,0,0,1,0,0,1,1,1,0,0,2,1,183,0,1,0
"184",184,"1307498",2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,184,1,0,0
"185",185,"1349592",1,1,1,1,0,1,1,1,1,1,1,0,1,1,3,1,185,1,1,1
"186",186,"1220344",1,1,1,1,1,1,0,1,0,1,1,0,1,1,3,2,186,1,0,0
"187",187,"0294640",1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,187,0,1,0
"188",188,"0240931",1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,188,0,1,0
"189",189,"0314639",1,1,1,1,0,1,0,1,0,1,1,1,1,0,3,2,189,1,0,0
"190",190,"1439926",1,1,1,1,0,0,0,1,0,1,1,0,0,0,3,3,190,1,0,0
"191",191,"0728441",1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,191,0,1,0
"192",192,"0105286",1,1,1,1,0,0,0,0,0,1,1,0,0,0,3,2,192,1,0,0
"193",193,"0941080",1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,193,0,1,0
"194",194,"0901593",1,1,1,1,0,1,1,0,1,1,1,1,1,1,3,1,194,1,1,1
"195",195,"1101986",1,1,1,1,1,1,1,1,0,1,1,1,1,1,3,1,195,1,1,1
"196",196,"0842532",1,1,1,0,0,1,0,1,0,1,1,0,0,0,3,2,196,1,0,0
"197",197,"0792190",1,1,1,1,0,1,0,1,0,1,1,0,0,0,3,1,197,1,1,1
"198",198,"0491865",1,1,1,1,1,1,1,1,0,1,1,1,1,1,3,1,198,1,1,1
"199",199,"1108328",1,1,1,1,0,1,1,1,0,1,1,0,0,0,3,1,199,1,1,1
"200",200,"0277007",1,1,1,1,0,1,0,1,0,1,1,0,0,1,3,2,200,1,0,0
"201",201,"1079240",1,1,1,1,0,1,0,0,0,1,1,0,0,0,3,1,201,1,1,1
"202",202,"0136719",1,1,0,0,0,0,0,0,0,1,0,0,0,0,3,3,202,1,0,0
"203",203,"0941557",1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,203,0,1,0
"204",204,"0859759",1,1,1,1,0,1,0,0,0,1,1,0,1,1,1,1,204,0,1,0
"205",205,"1438933",1,1,1,1,1,1,0,0,1,1,1,0,1,0,3,2,205,1,0,0
"206",206,"0769127",1,0,1,1,0,1,1,1,0,1,1,1,1,1,3,1,206,1,1,1
"207",207,"1383592",1,1,1,0,0,1,0,0,0,1,1,0,1,0,3,3,207,1,0,0
"208",208,"1301893",1,1,0,0,0,0,0,0,0,1,0,0,0,0,3,3,208,1,0,0
"209",209,"0368617",1,1,1,1,0,1,0,0,0,1,1,0,1,0,3,2,209,1,0,0
"210",210,"0244287",1,1,1,1,0,1,1,1,0,1,1,0,1,0,1,1,210,0,1,0
"211",211,"0598927",1,1,1,0,0,1,0,0,0,1,1,0,0,0,2,2,211,0,0,0
"212",212,"1495619",1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,212,0,1,0
"213",213,"1515179",1,1,1,1,0,1,0,0,0,1,1,0,1,1,1,1,213,0,1,0
"214",214,"0936941",1,0,0,0,0,1,0,0,0,1,0,0,1,0,2,2,214,0,0,0
"215",215,"0783181",1,1,1,0,0,1,0,1,1,1,1,0,1,0,3,1,215,1,1,1
"216",216,"0608612",1,1,1,1,0,1,0,1,0,1,1,0,0,0,3,2,216,1,0,0
"217",217,"0475637",1,1,0,1,0,1,0,0,0,1,0,0,0,0,4,3,217,0,0,0
"218",218,"0082493",1,1,1,1,0,1,0,1,0,1,1,0,1,0,3,2,218,1,0,0
"219",219,"0122358",1,1,1,1,0,1,0,1,0,1,1,1,1,1,3,1,219,1,1,1
"220",220,"0668901",1,1,1,1,0,0,1,1,0,1,0,1,1,1,2,1,220,0,1,0
"221",221,"0017251",1,1,0,1,0,0,0,1,0,1,0,0,1,0,3,3,221,1,0,0
"222",222,"0630747",1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,222,0,1,0
"223",223,"0157344",1,1,1,1,0,1,0,1,0,1,1,0,1,0,3,2,223,1,0,0
"224",224,"0129212",1,1,1,1,0,1,0,1,0,1,1,0,1,0,1,1,224,0,1,0
"225",225,"0923081",1,1,0,0,0,1,0,0,0,0,1,0,0,0,3,2,225,1,0,0
"226",226,"0428080",1,1,1,1,1,1,0,1,0,1,1,1,0,1,4,2,226,0,0,0
"227",227,"0314316",1,1,1,1,0,1,0,1,1,1,1,1,1,1,2,2,227,0,0,0
"228",228,"1125200",1,1,1,1,0,1,0,0,0,1,1,0,0,0,3,1,228,1,1,1
"229",229,"1331950",1,1,1,1,0,0,0,1,0,1,1,0,0,0,3,2,229,1,0,0
"230",230,"0380862",1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,2,230,0,0,0
"231",231,"0526728",1,1,1,1,0,1,0,0,0,1,0,0,0,0,2,2,231,0,0,0
"232",232,"0848924",1,1,1,0,0,1,0,1,0,1,0,0,1,0,3,3,232,1,0,0
"233",233,"1087180",1,1,1,1,0,1,0,1,0,1,1,0,1,0,1,2,233,0,0,0
"234",234,"0800101",1,1,1,0,0,1,0,0,0,0,1,0,0,1,3,2,234,1,0,0
"235",235,"0933624",1,1,1,1,0,1,0,0,0,1,1,0,1,1,3,2,235,1,0,0
"236",236,"0336765",1,1,1,1,0,1,0,1,0,1,1,0,0,0,3,2,236,1,0,0
"237",237,"0732620",1,1,1,1,0,1,1,1,0,1,1,1,1,1,3,1,237,1,1,1
"238",238,"0782221",1,1,1,0,0,1,0,0,0,1,1,1,1,0,2,1,238,0,1,0
"239",239,"1237034",1,1,1,1,0,1,1,0,0,1,1,0,1,1,2,1,239,0,1,0
"240",240,"0906197",1,1,1,1,0,1,0,0,0,1,1,0,1,0,3,2,240,1,0,0
"241",241,"0971557",1,1,1,1,0,1,0,0,0,1,1,0,1,1,3,2,241,1,0,0
"242",242,"0622635",1,1,1,1,0,1,1,1,0,1,1,0,1,0,2,1,242,0,1,0
"243",243,"1286140",1,1,0,0,0,0,0,0,1,1,1,1,1,1,3,3,243,1,0,0
"244",244,"1043586",1,1,1,1,0,1,1,1,1,1,1,0,1,1,3,1,244,1,1,1
"245",245,"0402226",1,1,1,1,0,1,1,1,0,1,1,0,1,0,1,1,245,0,1,0
"246",246,"0752002",1,1,1,1,0,1,0,0,1,1,1,0,0,0,3,1,246,1,1,1
"247",247,"0277311",1,0,0,1,0,1,0,1,0,1,0,0,0,1,2,2,247,0,0,0
"248",248,"0389505",1,1,1,0,0,1,1,1,0,1,1,0,0,1,6,2,248,0,0,0
"249",249,"0264342",1,1,0,0,0,0,0,0,0,1,0,0,0,0,3,4,249,1,0,0
"250",250,"0224898",1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,250,0,1,0
"251",251,"1249451",1,1,1,1,0,1,0,0,0,1,1,1,1,0,3,1,251,1,1,1
"252",252,"0522332",1,1,1,1,0,1,0,1,0,1,1,0,0,0,3,2,252,1,0,0
"253",253,"1126585",1,1,1,1,0,1,0,0,1,1,1,1,1,0,3,1,253,1,1,1
"254",254,"0664121",1,1,1,1,0,1,0,1,1,1,1,0,1,0,4,1,254,0,1,0
"255",255,"0113269",1,1,1,1,0,0,0,0,0,0,1,0,0,0,3,2,255,1,0,0
"256",256,"0680936",1,1,1,1,0,1,0,0,0,1,1,1,1,1,3,1,256,1,1,1
"257",257,"0525165",1,1,1,1,0,1,0,1,0,1,1,0,1,0,3,2,257,1,0,0
"258",258,"1059999",1,1,1,1,0,1,0,1,0,1,1,1,1,0,3,1,258,1,1,1
"259",259,"1595239",1,1,1,1,0,1,0,0,0,1,0,0,1,0,3,3,259,1,0,0
"260",260,"0397293",1,1,1,1,0,0,1,0,0,1,1,1,1,1,1,2,260,0,0,0
"261",261,"0204880",2,1,1,1,0,1,0,0,0,1,1,0,0,0,3,1,261,1,1,1
"262",262,"1429050",1,1,1,1,0,0,1,1,0,1,1,0,1,1,1,1,262,0,1,0
"263",263,"1553068",1,1,1,1,0,1,0,0,0,1,1,1,1,1,1,1,263,0,1,0
"264",264,"0878291",1,1,1,1,0,1,0,1,0,1,1,0,1,0,1,1,264,0,1,0
"265",265,"0684807",1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,265,0,1,0
"266",266,"0735394",1,1,1,1,0,1,1,1,1,1,1,1,1,1,2,1,266,0,1,0
"267",267,"0464852",1,1,1,1,0,1,0,0,0,1,0,0,1,1,3,2,267,1,0,0
"268",268,"1071335",1,1,1,1,0,1,0,1,0,1,1,0,1,0,4,1,268,0,1,0
