"","id_hogar","H18A_ESTU","H18B_REFR","H18C_LAVA","H18D_MCOS","H18E_ABAN","H18F_AIRE","H18G_RADI","H18H_TRES","H18I_TCEL","H18J_TV","H18K_COMP","H18L_INTER","H18M_AUTO","nse","se_nse"
"145",145,0,0,0,1,0,0,0,0,1,0,0,0,0,-1.8906348664113,0.366413544773042
"146",146,1,1,0,0,1,0,0,0,1,0,0,0,0,-0.969110973974746,0.258012413327788
"147",147,1,1,1,0,1,0,1,0,1,1,0,1,0,-0.204257077809573,0.373772146576055
"148",148,1,1,1,0,1,0,1,0,1,1,0,1,1,0.123045429190359,0.38446997596849
"149",149,1,1,1,0,1,1,1,0,1,1,1,1,1,0.914702356886305,0.450936750610379
"150",150,1,1,1,1,1,0,1,1,1,1,1,1,1,0.773633666125359,0.42716685784914
"151",151,1,1,1,0,1,0,1,0,1,1,0,0,0,-0.475733777914441,0.340218485421645
"152",152,1,1,1,1,1,1,0,1,1,1,1,1,1,1.34010385023213,0.553965665930291
"153",153,1,1,1,1,1,0,1,1,1,1,0,1,0,0.0447123573989088,0.383330517926325
"154",154,1,1,1,0,1,1,1,0,1,1,0,1,1,0.495401488493232,0.397170670532923
"155",155,1,1,1,0,0,0,1,0,1,1,0,1,1,-0.149212446631356,0.377211249552366
"156",156,1,1,1,0,1,1,1,1,1,1,1,1,1,1.34010385023213,0.553965665930291
"157",157,1,1,1,0,1,1,1,1,1,1,1,1,0,0.811076362396705,0.432909384552409
"158",158,1,1,1,0,1,0,1,0,1,0,1,1,0,-0.271973881981309,0.368084986026354
"159",159,1,1,1,0,1,0,1,0,1,1,0,1,1,0.123045429190359,0.38446997596849
"160",160,1,1,1,0,1,0,1,0,1,1,0,0,1,-0.182988790436365,0.375218447062372
"161",161,1,0,0,0,0,0,0,0,0,1,0,1,0,-1.24142068500176,0.27061862260363
"162",162,1,1,1,0,1,0,0,0,1,1,0,1,0,-0.204257077809573,0.373772146576055
"163",163,1,1,1,0,1,1,0,1,1,1,0,1,0,0.412702984389735,0.392229961660112
"164",164,1,1,1,0,1,0,0,0,1,1,0,0,0,-0.475733777914441,0.340218485421645
"165",165,1,1,1,0,1,0,0,0,1,1,0,1,0,-0.204257077809573,0.373772146576055
"166",166,1,1,1,0,0,0,1,0,1,1,0,1,0,-0.447732483616263,0.344969966419007
"167",167,0,0,0,0,0,0,1,0,0,0,0,0,0,-2.20360265307566,0.420269375739473
"168",168,1,1,1,0,1,0,1,0,1,1,0,0,0,-0.475733777914441,0.340218485421645
"169",169,1,1,1,0,1,0,0,0,1,1,1,1,0,0.14228569790756,0.384735241512311
"170",170,1,1,1,0,1,0,0,0,1,0,0,0,0,-0.756177792735821,0.285727417406031
"171",171,1,1,1,0,1,0,1,0,1,1,1,1,1,0.483997796883287,0.396391727632507
"172",172,1,1,1,0,1,1,1,0,1,1,0,1,0,0.153011904568361,0.38488664112875
"173",173,1,1,1,1,1,1,0,1,1,1,1,1,1,1.34010385023213,0.553965665930291
"174",174,1,1,1,1,1,1,0,0,1,1,0,1,1,0.495401488493232,0.397170670532923
"175",175,1,1,1,1,1,1,1,1,1,1,1,1,1,1.34010385023213,0.553965665930291
"176",176,1,0,1,0,0,0,1,0,1,1,1,1,1,-0.499111410757284,0.336062183474331
